age,job,marital,education,default,balance,housing,loan,contact,day,month,duration, campaign,pdays,previous,poutcome,y
56,"JobCat11","divorced","secondary","no",778,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
37,"JobCat3","divorced","unknown","no",170,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
42,"JobCat9","married","secondary","no",315,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
47,"JobCat9","married","secondary","no",83,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
59,"JobCat7","divorced","secondary","no",0,"yes","yes","unknown",6,"may",0,1,-1,0,"unknown",?
32,"JobCat3","married","secondary","no",0,"no","no","unknown",6,"may",0,1,-1,0,"unknown",?
26,"JobCat7","single","secondary","no",5090,"yes","no","unknown",6,"may",0,3,-1,0,"unknown",?
56,"JobCat3","married","secondary","no",1602,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
41,"JobCat3","single","primary","yes",-137,"yes","yes","unknown",6,"may",0,1,-1,0,"unknown",?
52,"JobCat9","married","unknown","no",0,"no","no","unknown",6,"may",0,1,-1,0,"unknown",?
54,"JobCat7","married","secondary","no",193,"no","no","unknown",6,"may",0,1,-1,0,"unknown",?
37,"JobCat3","divorced","primary","no",190,"yes","yes","unknown",6,"may",0,2,-1,0,"unknown",?
56,"JobCat9","divorced","secondary","no",99,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
44,"JobCat6","married","tertiary","no",17,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
35,"JobCat9","married","primary","no",0,"yes","no","unknown",6,"may",0,4,-1,0,"unknown",?
35,"JobCat7","married","secondary","no",358,"yes","no","unknown",6,"may",0,3,-1,0,"unknown",?
36,"JobCat9","married","secondary","no",581,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
48,"JobCat2","married","secondary","no",74,"no","yes","unknown",6,"may",0,1,-1,0,"unknown",?
26,"JobCat7","divorced","secondary","no",89,"no","no","unknown",6,"may",0,2,-1,0,"unknown",?
54,"JobCat7","married","secondary","yes",0,"yes","no","unknown",6,"may",0,3,-1,0,"unknown",?
48,"JobCat9","married","tertiary","no",310,"no","no","unknown",6,"may",0,1,-1,0,"unknown",?
35,"JobCat3","married","secondary","no",395,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
56,"JobCat3","married","primary","no",5,"yes","yes","unknown",6,"may",0,2,-1,0,"unknown",?
51,"JobCat3","married","secondary","no",50,"yes","yes","unknown",6,"may",0,1,-1,0,"unknown",?
51,"JobCat3","married","primary","no",653,"yes","yes","unknown",6,"may",0,1,-1,0,"unknown",?
55,"JobCat7","married","primary","no",255,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
29,"JobCat3","single","tertiary","no",60,"yes","yes","unknown",6,"may",0,1,-1,0,"unknown",?
40,"JobCat9","single","unknown","no",-5,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
48,"JobCat9","married","secondary","no",147,"no","no","unknown",6,"may",0,3,-1,0,"unknown",?
59,"JobCat2","married","primary","no",-119,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
54,"JobCat9","divorced","secondary","no",21,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
56,"JobCat11","divorced","unknown","no",4246,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
52,"JobCat4","married","tertiary","no",-184,"yes","yes","unknown",6,"may",0,2,-1,0,"unknown",?
52,"JobCat7","married","secondary","no",660,"no","no","unknown",6,"may",0,2,-1,0,"unknown",?
31,"JobCat3","married","primary","no",332,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
36,"JobCat4","married","tertiary","no",898,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
35,"JobCat9","married","secondary","no",123,"yes","yes","unknown",6,"may",0,2,-1,0,"unknown",?
41,"JobCat6","married","tertiary","no",65,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
27,"JobCat5","single","secondary","no",209,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
37,"JobCat11","married","secondary","no",104,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
31,"JobCat3","married","secondary","no",-349,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
41,"JobCat7","married","unknown","no",4,"no","no","unknown",6,"may",0,2,-1,0,"unknown",?
27,"JobCat11","married","secondary","no",-150,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
30,"JobCat11","married","tertiary","no",281,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
45,"JobCat7","married","secondary","no",1259,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
41,"JobCat4","married","unknown","no",89,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
33,"JobCat11","single","secondary","no",148,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
40,"JobCat9","single","secondary","no",200,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
47,"JobCat7","divorced","secondary","no",201,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
35,"JobCat3","married","primary","no",215,"yes","yes","unknown",6,"may",0,3,-1,0,"unknown",?
35,"JobCat9","married","secondary","no",710,"yes","no","unknown",6,"may",0,3,-1,0,"unknown",?
37,"JobCat7","married","secondary","no",1205,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
40,"JobCat11","married","secondary","no",6,"yes","no","unknown",6,"may",0,3,-1,0,"unknown",?
28,"JobCat9","single","unknown","no",-48,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
